sent_id,sent_text,sent_label1,sent_label2,sent_label3
12131-87366-0,"Un si rotundo, la verdad es que no se respeta nada la ley antitabaco, te encuentras personas en los andenes de atocha fumando sin ningún pudor, debería poner el Ayuntamiento de Madrid o la Comunidad de Madrid policías municipales controlando que se cumpla la ley, y multas severas a quien la incumpla, con los ingresos de las multas se podría crear una especie de inspectores parecido a los controladores de la hora que controlen en zonas públicas, como andenes de cercanías o paradas de autobuses aunque estén abiertas controlando los malos humos.",YES,CLAIM,NONE
12131-87366-1,Llamar a la policía municipal para sancionar por incumplir la ley.,NO,SPAM,NONE
12131-87468-0,"Estoy a favor de esto, pero el problema es que la ley antitabaco no regula las marquesinas, por lo que no se puede sancionar el incumplimiento.",NO,SPAM,NONE
12131-87468-1,"El problema es que fumador, prepotente y maleducado son palabras que suelen juntarse en una misma persona.",YES,CLAIM,NONE
12131-87468-2,Por desgracia.,NO,SPAM,NONE
12131-87468-3,Hay que exigir cambios en la ley antitabaco para regular este tipo de abusos.,YES,CLAIM,NONE
12131-87468-4,Pero antes hay que conseguir que se cumpla con rigor en los sitios donde las autoridades hacen la vista gorda hospitales terrazas ilegales y bares con salas camufladas.,YES,PREMISE,OPPOSITION
12131-87976-0,Si la marquesina es pequeña o está cerrada en tres o más de sus cinco paredes el techo cuenta como pared se supone que no se puede.,YES,CLAIM,NONE
12131-88033-0,Tendría que investigar pero creo que cualquier ciudad puede extender la ley antitabaco siempre que no entre en conflicto con la estatal.,YES,CLAIM,NONE
12131-88033-1,"Quiero decir, un ayuntamiento no puede permitir dejar fumar en un hospital, pero si puede añadir zonas donde prohibirlo.",YES,PREMISE,RESTATEMENT
12131-88033-2,"No estoy seguro, repito que tendría que investigar.",YES,PREMISE,SUMMARY
12131-91321-0,Yo soy fumadora y te aseguro que ni soy prepotente ni maleducada.,NO,SPAM,NONE
12131-91321-1,"Desconozco si en las marquesinas está permitido fumar o no, pero te aseguro que no lo hago, de la misma manera que no lo hago en un campo de fútbol, en un cine de verano o en un concierto al aire libre porque entiendo que molesta.",NO,SPAM,NONE
12131-91321-2,Te agradecería que dejaras de insultar a la gente y a prejuzgarla sin conocerla de nada.,NO,SPAM,NONE
12131-91350-0,"Mire, cualquier no fumador tiene en sus espaldas una dilatada experiencia de oir a muchos fumadores decir que sí respetan a los demás, pero en cuanto hay oportunidad de observarlos in situ, hacen todo lo contrario.",YES,CLAIM,NONE
12131-91350-1,"Y esto es frecuentísimo, porque el criterio sobre el respeto en fumadores es muy, pero muy diferente.",YES,PREMISE,PRECISION
12131-91350-2,Mi comentario va por todos los maleducados que no respetan.,YES,PREMISE,SUMMARY
12131-91350-3,"Si usted se comporta como dice, no debería sentirse aludida.",YES,PREMISE,CONDITION
12131-87485-0,No soy fumador pero agradezco que alguno se encienda un cigarrillo para que llegue antes el autobús.,YES,CLAIM,NONE
12131-87485-1,"Un poco de seriedad, me molesta el humo del tabaco pero es un espacio abierto y con su fumeteo se pagan impuestos.",NO,SPAM,NONE
12131-88012-0,No falla.,NO,SPAM,NONE
12131-88012-1,"Todo el que comienza una frase con no soy fumador, pero no soy racista, perooooo.",YES,CLAIM,NONE
12131-88012-2,"» y a continuación argumenta lo contrario de lo que dice ser, ya sabemos lo que es.",YES,CLAIM,NONE
12131-88012-3,"Y además también sabemos que miente para parecer que sus argumentos tienen más fuerza, haciéndose pasar por lo que no es.",YES,PREMISE,ADDITION
12131-91319-0,No entiendo por qué llamas mentiroso a alguien que ni siquiera conoces.,YES,CLAIM,NONE
12131-91351-0,"¿Por qué no soy tonto, tal vez?",NO,SPAM,NONE
12131-91351-1,"Mire, he oído infinidad de veces esa frase de no soy fumador, peroooooo y luego defender las malas prácticas maleducadas de los fumadores.",NO,SPAM,NONE
12131-91351-2,"Por cierto, usted ha dicho antes que es fumadora mujer, se supone ¿por qué entonce está registrada como Pío?.",NO,SPAM,NONE
12131-91352-0,Así que usted no es tonto peeeroo.,NO,SPAM,NONE
12131-91352-1,"Mire, esta web está para proponer, no para crear polémicas absurdas.",NO,SPAM,NONE
12131-91352-2,"Le podría explicar que el nombre de mi avatar viene del apelativo cariñoso que utilizaba mi padre cuando era pequeña pero como no quiero perder más tiempo con chorradas absurdas, le diré que me pongo el nombre que me da la real gana.",NO,SPAM,NONE
12131-91353-0,Pues haga sus propuestas en lugar de dedicarse a boicotear las que no le gustan.,NO,SPAM,NONE
12131-87555-0,Totalmente de acuerdo.,NO,SPAM,NONE
12131-88027-0,"No solo hay que poner carteles de prohibido fumar, hay que prohibirlo de verdad, poniendo multas, que es la única manera de que se acaten las normas.",YES,CLAIM,NONE
152-0-0,Instalación de placas solares en tejados,YES,CLAIM,NONE
152-0-0,"Sería un ahorro de energía considerable que repercutiría en el dinero que gastamos en electricidad todos los meses, pagando los mayores precios de Europa, además ahorraríamos mucho CO2 a la atmósfera.",YES,CLAIM,NONE
152-18873-0,Si te importa el Medio Ambiente igual apoyarías también esta propuesta.,YES,CLAIM,NONE
152-18885-0,O esta otra.,NO,SPAM,NONE
152-18926-0,"Esa pregunta está mal formulada, y es falsa No repercutiría en ahorro de dinero, eso desde luego.",YES,CLAIM,NONE
152-18926-1,"Y debería informase la gente de los materiales usados para la fabricación de placas solares, y de la contaminación derivada de ellos.",YES,PREMISE,ADDITION
152-18926-2,Y después de 20-25 años de vida útil se convierten en desechos con materiales tremendamente nocivos para la salud y el medio ambiente.,YES,PREMISE,ADDITION
152-18926-3,"Por favor, antes de votar infórmense no se crean todo lo que les cuentan los medios de comunicación ni los políticos, por que la mayoría son mentiras populistas.",NO,SPAM,NONE
152-18926-4,"Quizás no saben de que hablan, o tal vez si, pero desde luego, lo que dicen no es cierto.",NO,SPAM,NONE
152-19055-0,"Informate tu porque los paneles duran más de 25 años, tienen una garantia de que a los 25 años te dan un 90 de la energia nominal, pero un panel de 40 años a lo mejor te da el.60-70% no se, porque todavia no hay paneles de 40 años, y lo mismo los deshechos, cuando empiece a haber deshechos en cantidad se hará un plan de reciclaje, de hecho ya se hace en pequeña escala.",YES,CLAIM,NONE
152-19175-0,"Pues no es mi intención mentir a nadie, quizá tenga desconocimiento, pero si se genera una industria potente dudo mucho que no se reciclen las placas solares en un futuro, lo que no se pueden reciclar seguro son los desechos radiactivos de las centrales nucleares.",YES,CLAIM,NONE
152-19183-0,"Pues no es mi intención mentir a nadie, quizá tenga desconocimiento, pero si se genera una industria potente dudo mucho que no se reciclen las placas solares en un futuro, lo que no se pueden reciclar seguro son los desechos radiactivos de las centrales nucleares.",YES,CLAIM,NONE
152-26112-0,"Coincido en que siempre hay que informarse antes de votar, pero también antes de expresar opiniones con tanta contundencia y tan poco fundamentadas.",NO,SPAM,NONE
152-26112-1,"Los materiales con los que se construyen los paneles solares son fundamentalmente silicio, vidrio, aluminio y cobre, fáciles de reciclar y no contaminantes.",YES,CLAIM,NONE
152-26112-2,La vida útil de los paneles es bastante superior a 25 años y el.,YES,PREMISE,PRECISION
152-26112-3,"Beneficio medioambiental obtenido por la producción limpia de energía, es muy superior a los pequeños impactos derivados de la fabricación y el reciclado.",YES,PREMISE,PRECISION
152-26112-4,Ya está bien de satanizar una tecnología tan positiva para la sociedad y el medio ambiente simplemente por que va contra los intereses de las grandes compañías eléctricas y sus abusivos beneficios.,NO,SPAM,NONE
152-18958-0,"Apoyaría esta propuesta, pero parece que no puedo, porque vivo en un pueblo de Madrid.",NO,SPAM,NONE
152-19000-0,"Apoyo totalmente esta propuesta y el ayuntamiento Debería dar ejemplo poniéndolas en todos aquellos edificios públicos en los que sea factible, te gustará también esta otra propuesta.",YES,CLAIM,NONE
152-19165-0,"Apoyo la propuesta, pero no es rentable para el Ayuntamiento.",YES,PREMISE,OPPOSITION
152-19165-1,"Todo es política de dinero, de dinero para la administración, claro.",NO,SPAM,NONE
152-26861-0,La rentabilidad no se mide solo en una economía inmediata y basada tan sólo en dinero o ¿tener un hijo nos abarata la vida?,YES,CLAIM,NONE
152-26861-1,"a pesar de ello, tenemos hijos, ¿no?",YES,CLAIM,NONE
152-26861-2,"y todo porque nos alegra la vida, nos da satisfacción personal tener nuestros propios hijos a pesar del coste económico que nos supone.",YES,CLAIM,NONE
152-26861-3,"Esta idea de verlo todo a través de las gafas de lo rentable o no económicamente es una visión del mundo consumista y capitalista que reduce al ser humano a la calidad exclusiva de mano de obra, maquinaria productora de ingresos económicos para las empresas, sin derechos emocionales, de salud física y mental, solo producidos para trabajar.",YES,PREMISE,PRECISION
152-19406-0,Yo creo que la propuesta está mal planteada de base.,YES,CLAIM,NONE
152-19406-1,"El hecho de tener placas solares en los tejados de los edificios, ya puede suponer un ahorro a las Comunidades de vecinos-casas unifamiliares.",YES,PREMISE,REASON
152-19406-2,No es necesario recurrir a ayudas públicas-subvenciones para poder instalarnos las placas solares en nuestros edificios.,YES,PREMISE,REASON
152-19406-3,Estas cosas siempre se pueden pagar a plazos y sería un nuevo modo de independencia frente a las administraciones públicas Que en la actualidad nos penalizan si conectamos nuestras red con placas foltovoltaicas a la red eléctrica de todos.,YES,PREMISE,PRECISION
152-20329-0,"Tiene razón ABG Hay que hacer instalaciones de generación con renovables, pero no son necesarias las subvenciones.",YES,CLAIM,NONE
152-20329-1,"Lo que hace falta es una regulación adecuada, todo lo contrario del impuesto al sol de Soria a la fotovoltaica.",YES,PREMISE,PRECISION
152-20329-2,Y por supuesto hacer instalaciones de calidad que esto no es tan sencillo que algunos piensan y tampoco valen todos los tejados.,YES,PREMISE,ADDITION
152-20938-0,Mira que la idea es buena.,NO,SPAM,NONE
152-20938-1,"Pero el tema de subvencionar para favorecerlo, no lo veo tal como explico en mi anterior post.",NO,SPAM,NONE
152-20938-2,Me gustaría votar a favor de la propuesta pero si se eliminara lo relacionado a la subvención.,YES,CLAIM,NONE
152-26860-0,"El dinero de los impuestos es de todos y todas pero además Economía es la distribución de los bienes y recursos, y eso es lo que estamos haciendo.",NO,SPAM,NONE
152-30188-0,Los conceptos de la economía y la redistribución de la riqueza me los tengo ya aprendidos mimi.,NO,SPAM,NONE
152-30188-1,Pero piensa que es una inversión que favorece el ahorro en el futuro.,NO,SPAM,NONE
152-30188-2,"Tenemos que desprendernos de papa estado y de las multinacionales que controlan el país para demostrar que somos autosuficientes energéticamente hablando Pese a que el coste de la instalación puede ser elevado, el retorno es muy beneficioso para la persona que los instala en su casa o comunidad de vecinos.",YES,CLAIM,NONE
152-30188-3,"Por ello creo que no debería ser subvencionado por el Estado, Comunidad o Ayuntamiento.",YES,PREMISE,RESULT
152-30188-4,Ah y que no se me olvide que tendríamos que luchar por cambiar la legislación que penaliza el autoconsumo energético.,YES,PREMISE,ADDITION
152-30188-5,Supongo que estarás de acuerdo.,NO,SPAM,NONE
